Date,Price,Open,High,Low,Change %
2010-04-29,107.86,107.64,107.89,107.08,0.20%
2010-04-30,107.64,107.72,107.9,107.57,-0.07%
2010-05-03,107.72,107.54,107.96,107.36,0.16%
2010-05-04,107.54,107.71,107.93,107.4,-0.15%
2010-05-05,107.71,107.58,107.79,107.56,0.07%
2010-05-06,107.63,107.61,107.77,107.32,0.00%
2010-05-07,107.62,107.5,107.86,107.47,0.09%
2010-05-10,107.53,107.71,107.99,107.33,-0.17%
2010-05-11,107.71,107.32,108.09,107.29,0.34%
2010-05-12,107.35,107.08,107.51,107.04,0.29%
2010-05-13,107.04,107.25,107.44,106.85,-0.21%
2010-05-14,107.25,107.04,107.38,106.77,0.21%
2010-05-17,107.03,107.11,107.28,106.74,-0.11%
2010-05-18,107.14,107.68,107.71,107.12,-0.49%
2010-05-19,107.68,106.64,107.78,106.54,0.95%
2010-05-20,106.67,106.29,106.75,106.22,0.36%
2010-05-21,106.29,106.11,106.67,105.99,0.12%
2010-05-24,106.15,106.61,106.64,105.98,-0.41%
2010-05-25,106.6,106.78,106.91,106.42,-0.14%
2010-05-26,106.75,106.82,107.08,106.63,-0.19%
2010-05-27,106.94,107.18,107.41,106.6,-0.22%
2010-05-28,107.18,106.71,107.51,106.4,0.44%
2010-05-31,106.71,106.88,106.9,106.36,-0.15%
2010-06-01,106.88,107.22,107.35,106.56,-0.34%
2010-06-02,107.24,107.49,107.64,106.99,-0.26%
2010-06-03,107.51,107.58,107.76,107.37,-0.07%
2010-06-04,107.6,107.76,108.04,107.34,-0.14%
2010-06-07,107.75,107.82,107.94,107.51,-0.03%
2010-06-08,107.78,107.63,107.9,107.28,0.14%
2010-06-09,107.63,107.57,107.96,107.49,0.09%
2010-06-10,107.53,107.96,108.08,107.3,-0.40%
2010-06-11,107.96,107.49,108.1,107.17,0.44%
2010-06-14,107.49,107.21,107.86,106.93,0.25%
2010-06-15,107.21,107.78,107.81,106.97,-0.52%
2010-06-16,107.78,108.54,108.54,107.5,-0.65%
2010-06-17,108.47,108.54,108.61,108.32,0.00%
2010-06-18,108.47,108.82,109.07,108.21,-0.32%
2010-06-21,108.82,108.71,109.11,108.5,0.10%
2010-06-22,108.71,109.24,109.29,108.67,-0.47%
2010-06-23,109.22,108.43,109.39,108.35,0.70%
2010-06-24,108.46,107.92,108.69,107.8,0.51%
2010-06-25,107.92,107.17,108.11,107.01,0.70%
2010-06-28,107.17,107.54,107.95,106.91,-0.35%
2010-06-29,107.54,107.76,108.74,107.46,-0.26%
2010-06-30,107.82,107.89,108.31,107.11,-0.07%
2010-07-01,107.9,109.6,109.71,107.75,-1.54%
2010-07-02,109.6,111.21,111.32,109.21,-1.45%
2010-07-05,111.21,111.21,111.69,110.75,-0.02%
2010-07-06,111.22,111.21,111.72,110.08,0.01%
2010-07-07,111.21,111.04,111.61,109.67,0.36%
2010-07-08,110.82,110.71,111.52,109.31,0.09%
2010-07-09,110.71,108.07,110.96,107.85,2.16%
2010-07-12,108.37,107.36,108.65,106.76,0.63%
2010-07-13,107.69,105.86,107.88,105.86,1.73%
2010-07-14,105.86,107.92,107.92,105.14,-1.91%
2010-07-15,107.92,104.62,108.5,104.5,3.13%
2010-07-16,104.64,104.56,106.09,103.09,0.09%
2010-07-19,104.55,105.66,105.69,104.11,-1.03%
